"filename", "language", "Python", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0027_remove_profile_follow_count_and_more.py", "Python", 15, 0, 0, 0, 1, 6, 22
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0028_profile_bio.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0029_alter_profile_bio_alter_profile_follow_and_more.py", "Python", 28, 0, 0, 0, 1, 6, 35
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\0030_alter_trendingmessage_options_and_more.py", "Python", 16, 0, 0, 0, 1, 6, 23
"c:\Users\ashis\Desktop\pseudospeak\main\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\Desktop\pseudospeak\main\models.py", "Python", 54, 0, 0, 0, 1, 16, 71
"c:\Users\ashis\Desktop\pseudospeak\main\routing.py", "Python", 8, 0, 0, 0, 0, 1, 9
"c:\Users\ashis\Desktop\pseudospeak\main\static\main\css\index.css", "CSS", 0, 0, 334, 0, 58, 80, 472
"c:\Users\ashis\Desktop\pseudospeak\main\static\main\css\style2.css", "CSS", 0, 0, 185, 0, 3, 32, 220
"c:\Users\ashis\Desktop\pseudospeak\main\static\main\css\view_message.css", "CSS", 0, 0, 65, 0, 8, 10, 83
"c:\Users\ashis\Desktop\pseudospeak\main\static\main\js\script.js", "JavaScript", 0, 0, 0, 17, 0, 0, 17
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\base.html", "HTML", 0, 89, 0, 0, 2, 5, 96
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\dashboard.html", "HTML", 0, 663, 0, 0, 2, 82, 747
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\hashtagMessages.html", "HTML", 0, 317, 0, 0, 5, 60, 382
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\index.html", "HTML", 0, 317, 0, 0, 5, 66, 388
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\loading.html", "HTML", 0, 59, 0, 0, 0, 2, 61
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\messenger.html", "HTML", 0, 404, 0, 0, 1, 50, 455
"c:\Users\ashis\Desktop\pseudospeak\main\templates\main\signup.html", "HTML", 0, 138, 0, 0, 3, 13, 154
